Name,URL
Colombia Government Open Data,http://datosabiertoscolombia.cloudapp.net/frm/buscador/frmbuscador.aspx
Instituto GeogrÃ¡fico Nacional Agustin Codazzi,http://igac.gov.co
African Development Bank Group Open Data,http://comoros.opendataforafrica.org/
Costa Rica Open Data,http://datosabiertos.gob.go.cr
Instituto MeteorolÃ³gico Nacional,http://imn.ac.cr/
National Statistics Office,http://one.cu
Copenhagen Data,http://data.kk.dk/
Map Supply - Geodatastyrelsens,http://kortforsyningen.dk
Ministry Of Energy & Mines,http://dgm.gov.do
Transparency Data,http://transparency.gov.tl
Ministerio De EducaciÃ³n,http://educacion.gob.ec
Instituto Nacional De MeteorologÃ­a E HidrologÃ­a,http://inamhi.gob.ec/
The Egyptian Meteorological Authority,http://nwp.gov.eg/
Direccion General De Estadstica Y Censos,http://digestyc.gob.sv
Servicio Nacional De Estudios Territoriales,http://snet.gob.sv/
Estonian Weather Service,http://ilmateenistus.ee/
European Climate Assessment & Dataset,http://eca.knmi.nl/
Fiji Meteorological Service,http://met.gov.fj/
JyvÃ¤skylÃ¤ Open Data,http://data.jyvaskyla.fi
Lounais-suomi (southwest) Finland,http://paikkatietokeskus.lounaispaikka.fi/fi/aineistot/
Helsinki Regional Transport Open Data/api,http://reittiopas.fi
Alpes-de-Haute-Provence Open Data,http://tourisme04.opendatasoft.com/
STIF Open Data,http://opendata.stif.info/
DÃ©partement Manche,http://conseil.general.manche.fr/open-data.asp
Metz MÃ©tropole,http://data.gouv.fr/fr/organizations/metz-metropole/
Ville De Issy-les-moulineaux,http://data.issy.com
Meteo France,http://meteofrance.com
Mulhouse Open Data,http://www.mulhouse.fr/fr/les-donnees/
RÃ©gion Auvergne,http://opendata.auvergne.fr
La Rochelle Open Data,http://opendata.larochelle.fr
Territoire Montpellier NumÃ©rique - DonnÃ©es Publiques Ouvertes,http://opendata.montpelliernumerique.fr
DÃ©partement Maine-et-loire,http://www.opendata49.fr/
Ville De Strasbourg,http://strasbourg.eu/fr/ma-situation/professionnel/open-data
Opendata71,http://www.opendata71.fr/
African Development Bank Group Open Data,http://gambia.opendataforafrica.org/
Gambia Bureau Of Statistics,http://gbos.gm
National Statistics Office Of Georgia,http://geostat.ge
Georgia Public Information Database,http://www.opendata.ge
Ministry Of Mines - Afghanistan Geological Survey,http://bgs.ac.uk/afghanminerals/
Institutii Statistikave,http://instat.gov.al
African Development Bank Group Open Data,http://algeria.opendataforafrica.org/
Office National De La MÃ©tÃ©orologie,http://meteo.dz/
Institut D'estudis Andorrans,http://iea.ad
